| food_name                                                                              | energy_kj | energy_kcal | carb_g | protein_g | fat_g | freesugar_g | fibre_g |
| Saunth/Sonth chutney with tamarind/imli                                                | 592.16    | 141.53      | 33.55  | 1.01      | 0.15  | 31.31       | 0.93    |
| Rice kheer (Chawal ki kheer)                                                           | 315.33    | 75.03       | 10.05  | 2.3       | 2.97  | 8.02        | 0.17    |
| Makhana kheer                                                                          | 452.85    | 107.85      | 12.88  | 3.31      | 5     | 11.54       | 0.11    |
| Vermicelli kheer (Semiya/Seviyan ki kheer)                                             | 504.28    | 120.07      | 15.87  | 3.35      | 5     | 12.79       | 0.5     |
| Semolina kheer (Suji/Rava kheer)                                                       | 476.14    | 113.21      | 15.88  | 3.43      | 4.2   | 12.88       | 0.51    |
| Paneer kheer                                                                           | 441.91    | 105.31      | 10.03  | 4.53      | 5.37  | 9.87        | 0.07    |
| Cabbage kheer (Pattagobhi ki kheer)                                                    | 350.89    | 83.51       | 9.73   | 2.87      | 3.8   | 9.28        | 0.51    |
| Carrot kheer (Gajar ki kheer)                                                          | 358.6     | 85.35       | 10.09  | 2.81      | 3.85  | 9.63        | 0.73    |
| Cauliflower kheer (Phoolgobhi ki kheer)                                                | 344.14    | 81.95       | 8.78   | 3.04      | 3.95  | 8.49        | 0.55    |
| Moong dal kheer                                                                        | 324.23    | 77.16       | 9.89   | 2.95      | 2.97  | 7.92        | 0.4     |
| Phirni                                                                                 | 487.8     | 116.12      | 16.11  | 3.49      | 4.34  | 10.79       | 0.36    |
| Semolina halwa (Suji ka halwa)                                                         | 940.23    | 225.65      | 24.67  | 2.16      | 13.38 | 13.98       | 1.86    |
| Shahi suji halwa                                                                       | 1595.02   | 382.34      | 44.44  | 3.48      | 21.73 | 27.21       | 2.96    |
| Carrot halwa (Gajar ka halwa)                                                          | 722.36    | 172.64      | 18.53  | 3.11      | 9.73  | 16.85       | 2.65    |
| Egg halwa (Ande ka halwa)                                                              | 1262.47   | 299.74      | 39.59  | 7.85      | 13.41 | 37.85       | 0.49    |
| Potato halwa (Aloo ka halwa)                                                           | 637.97    | 151.66      | 29.18  | 1.53      | 3.48  | 17.42       | 1.64    |
| Pumpkin halwa (Kaddu ka halwa)                                                         | 800.8     | 190.27      | 27.6   | 1.33      | 8.81  | 26.64       | 2.97    |
| Moong dal halwa                                                                        | 1461.34   | 349.8       | 40.23  | 8.35      | 17.68 | 25.59       | 2.65    |
| Caramel custard (steamed)                                                              | 512.2     | 121.58      | 15.02  | 4.97      | 4.87  | 14.98       | 0       |
| Baked custard                                                                          | 447.46    | 106.53      | 9.45   | 5.41      | 5.3   | 9.42        | 0       |
| Soft Custard (stirred)                                                                 | 459.08    | 109.18      | 11.19  | 5.01      | 5.07  | 11.15       | 0       |
| Chocolate ice cream                                                                    | 743.06    | 177.7       | 15.41  | 4.47      | 11.25 | 15.33       | 0       |
| Mango ice cream                                                                        | 525.33    | 125.69      | 11.14  | 3.4       | 7.62  | 11.01       | 0.52    |
| Fruit Ice cream (Phalon ka Ice cream)                                                  | 717.81    | 171.46      | 16.05  | 4.37      | 10.38 | 14.03       | 0.33    |
| Caramel ice cream                                                                      | 725.49    | 173.52      | 14.81  | 4.31      | 11.15 | 14.52       | 0.08    |
| Lemon souffle                                                                          | 705.67    | 168.51      | 13.43  | 6.95      | 10.02 | 11.67       | 0       |
| Orange souffle                                                                         | 704.69    | 168.28      | 14.2   | 6.8       | 9.73  | 12.31       | 0.22    |
| Vanilla souffle                                                                        | 786.62    | 187.85      | 14.78  | 7.71      | 11.19 | 12.86       | 0       |
| Chocolate souffle                                                                      | 792.69    | 189.32      | 14.74  | 7.88      | 11.36 | 12.69       | 0       |
| Pineapple souffle                                                                      | 821.36    | 196.14      | 15.52  | 8.06      | 11.72 | 13.45       | 0       |
| Apple mousse                                                                           | 447.82    | 106.92      | 12.77  | 4.21      | 4.27  | 10.56       | 1.6     |
| Rich chocolate mousse                                                                  | 785.94    | 188.26      | 10.84  | 7.96      | 12.19 | 10.3        | 0       |
| Mango mousse                                                                           | 520.63    | 124.98      | 9.14   | 3.21      | 8.47  | 8.89        | 0.88    |
| Orange and pineapple cream                                                             | 422.92    | 101.18      | 11.96  | 1.44      | 5.43  | 11.37       | 1.03    |
| Charlotte rousse                                                                       | 790.33    | 188.29      | 34.08  | 3.95      | 4.78  | 20.48       | 1.01    |
| Triffle pudding                                                                        | 493.52    | 116.97      | 18.24  | 2.93      | 3.93  | 13.89       | 0.12    |
| Snow flakes pudding                                                                    | 399.56    | 95.21       | 8.07   | 4.67      | 4.97  | 8.01        | 0.03    |
| Kulfi                                                                                  | 413.82    | 98.43       | 11.3   | 3.21      | 4.7   | 10.39       | 0.12    |
| Steamed orange pudding                                                                 | 1163.99   | 278.03      | 41.53  | 2.34      | 12.04 | 26.53       | 0.58    |
| Meringue and rice pudding                                                              | 474.3     | 112.93      | 14.6   | 4.84      | 4.05  | 10.87       | 0.17    |
| Cheese pudding                                                                         | 1190.38   | 285.01      | 19.27  | 11.29     | 18.37 | 18.63       | 0.05    |
| Chocolate pudding                                                                      | 891.1     | 211.96      | 29.59  | 3.55      | 9.48  | 20.68       | 0.53    |
| Bread and butter pudding                                                               | 705.95    | 167.94      | 19.63  | 5.59      | 7.88  | 11.84       | 0.98    |
